Название;Сайт;Почта;Номер телефона;Адрес;Руководитель;Город
Алексей Маратович Акбашев ;;;;;;Калуга  
"ООО ""АРДО"" ";https://ardo59.ru;agentstvoardo@mail.ru;79519367565;"Монастырская, д. 12""а"", офис 318";Грачев Николай Михайлович;Пермь  
Агентство по сопровождению бизнеса ;https://yuragentstvo69.ru;a395086@yandex.ru;74 822 647 140;170001, г. Тверь, ул. Спартака д. 45, корп. 1, офис 1;Пономарева Марина Владимировна;Тверь  
Легион ;;legion-izh@ya.ru;3 412 240 473;г.Ижевск. Ул. Пушкинская 182;Локатун Георгий Валерьевич;Ижевск  
"ООО ""Уральский дом недвижимости"" ";;;;;;Пермь  
"АК ""Бажинов и Партнеры"" ";http://www.beladvokats.ru/;law@beladvokats.ru;84 722 336 179;308000, Белгородская область, г. Белгород, ул 50 летия Белгородской области, д.10;Бажинов Михаил Александрович;Белгород  
БУХпрофи ;https://www.buxprofi.ru;registracija@buxprofi.ru;84 951 503 422;123060, Москва, 1-й Волоколамский пр-д, д.10;;Москва
"ЮК ""Линия Права"" ";http://liniayprava.ru;sereeff.alex@yandex.ru;74 712 550 818;г. Курск, ул. К. Маркса, д. 62/21, оф.519;Сереев Алексей Владимирович;Курск  
Юридическая Компания «Жолудев и партнёры» ;https://zholudev-partners.ru;azh-777@bk.ru;74959609549;Москва, 2-й Сыромятнический пер. д.10А, каб. 303;Жолудев Андрей Игоревич;Москва
"ООО ""Юридическая фирма ""Юникс"" ";www.unics.chebr.ru;372946@mail.ru;8352 372946, 8 927 850 1900;г. Чебоксары ул. К. Иванова, д. 91;Макарова М.М.;Чебоксары  
Юрист.АС ;yuristus.com;nikolas458@mail.ru;79025634351;Улан-Удэ, проспект Автомобилистов, 16, офис 7;Николаев Эдуард Игоревич;Улан-Удэ  
ПравоведЪ ;;;;;;Архангельск
"ООО ""ЮрЦентр"" ";;;;;;Оренбург  
Юридическое агентство LawMan ;https://mylawman.ru/;info@mylawman.ru;+7 342 255 33 53;25 октября, 101;Попыванов Александр;Пермь  
"Юридическое бюро ""Норма ТРИ"" ";norma3.ru;;СанктПетербург, ПС, ул. Мира, дом 7, оф. 31;;;Санкт-Петербург
"ООО ""Регард"" ";;;;;;Нижний Новгород  
"ООО ""Юридическое бюро"" ";http://yuridicheskoebyuro.ru;info@yuridicheskoebyuro.ru;1,5912E+11;Тульская область, г.Новомосковск, ул.Трудовые резервы, д.28А, оф.18, этаж 2;Савинков Сергей Юрьевич;Новомосковск  
Профакт ;;profactnsk@mail.ru;;;Нечаев Антон Владиславович;Новосибирск  
Центр Юридических Услуг ;;cyurf@mail.ru;79280444407;г. Краснодар, ул. Петра Метальникова, 5к2;2 учредителя;Краснодар  
Умный Банкрот ;;;88002509240;г. Уфа, Пр. Октября, д. 83;;Уфа
"ООО ""СИЯНА-ПРОФИ"" ";;siyana-profi@mail.ru;335380;г. Калининград, ул. Красная, д. 115, офис 7;Артюшкина Марина Михайловна;Калининград  
"""Практика"" ";http://praktika66.ru/;;;;Емалетдинов Евгений Олегович;Екатеринбург  
"Бюро ""Советникъ"" ";https://buro-sovetnik.ru/;buro-sovetnik@list.ru;78 452 581 889;имени Н.Г. Чернышевского, 100, офис 614;Гусятникова Дарья Ефимовна;Саратов  
"ООО ""Новое время"" ";;v.novoe@mail.ru;93 52 37;г. Томск, пр. Ленина, д. 110, оф. 603, вход В;Ламбрехт Ольга Александровна;Томск  
"ООО ""Сфинкс"" ";sfinks-tlt.ru;sfinkstlt@yandex.ru;88 482 263 622;г. Тольятти, ул. Карла Маркса, д. 66;;Тольятти  
Сутягин ;сутягин43.рф;sutygin43@bk.ru;8 922 989 53 43;ул. Карла Маркса 21 офис 210;Копанев Михаил Николаевич;Киров
ЮРИДИЧЕСКОЕ АГЕНТСТВО ;;;;;;Ставрополь  
ООО Юридическая Компания ЩИТ ;;;;;;Петрозаводск  
Дальневосточное Юридическое Бюро ;www.dubureau.info;dubureau@bk.ru;74 212 457 856;г. Хабаровск, ул. Кубяка 9, оф.317;Дамаскин Сергей Александрович;Хабаровск  
Мадрок ;https://madroc.ru/;mail@madroc.ru;74955069004;107078, г. Москва, ул. Каланчёвская, д.11, стр. 3;Гаджиев Гаджи Кадиевич;Москва
Fopipa Центр семейного права ;fopipa.ru;fopipa@bk.ru;79 879 092 939;Авроры, 181;Эльнур Кулиев Ильгарович;Самара  
ЦОТПБ ;https://cotpb.ru/;cotpbmsk@yandex.ru;74956873494;129626, Москва, Кулаков переулок, 9а;;Москва
"ООО ""Фортис"" ";www.fortislex.ru;;73952991122;Иркутск, ул. А.Невского, 25;;Иркутск  
Робин Гуд ;robgood.nethause.ru;robingoodnn@bk.ru;79036027670;ул.Ошарская 52-а;;Дзержинск  
Центр «Бизнес и Право» ;https://business-delo.ru/;info@bip38.ru;79 397 944 657;664000, Иркутская обл., г. Иркутск, ул. Свердлова, 43А, офис 11, этаж 2;Глазунов Кирилл;Иркутск  
"ООО ""Квдро-Ф"" ";;;89233412747;Красноярск, ул. Перенсона, 1;Фирсанов Юрий Михайлович;Красноярск  
Антиколлекторское агентство ;www.stopbankir.ru;stopcollector@mail.ru;84232689435;Петра Великого 2;;Владивосток  
"Юридическая фирма ""Юрис"" ";www.ju-ris.ru;info@ju-ris.ru;74012985645;г. Калининград, ул. 9 Апреля, д. 7;Солнцев Станислав Евгеньевич;Калининград  
"ООО ЮА ""Аргументъ"" ";www.argument22.com;argumlaw@gmail.com;89236452380;г. Барнаул, ул. Г. Исакова, 268\Шукшина,24;Бавыкина Юлия Борисовна;Барнаул  
"ООО ""ВВТ"" ";;vvt2014@yandex.ru;726580;Навашина, 9;Толмачева Татьяна Евгеньевна;Саратов  
Квартира Дом Хабаровск.Ру ;kdx.ru;xabap@bk.ru;61 18 18;Шеронова 7- 44;Баженова Александра Николаевна ;Хабаровск  
Олехнович, Михайлова и партнеры ;;;;;Олехнович Андрей Сергеевич;Ростов-на-Дону  
"""Бизнес-групп"" ";;;;;;Екатеринбург  
ООО«Земельное право» ;;;;;;Москва
ООО ВОЛАНТ ;http://volant-tlt.ru/jur-uslugi/;gb@volant-tlt.ru;89023399040;г.Тольятти, пр-т Степана-Разина 36А, оф.314;;Тольятти  
"ООО ""Правовед"" ";;;;;;Коломна  
"ЮК ""Консультант"" ";www.konsultant31.ru;bel.konsultant@mail.ru;79102229906;г. Белгород, ул. Мичурина, дом 39А, офис 109;Илеменева Екатерина Николаевна ;Белгород  
"Экспертный центр ""ЮристЪ"" ";;;79087278777;Дзержинск, ул. Суворова-33;Куварин Александр Львович;Нижний Новгород  
Дель Кредере и Партнеры консалтинг групп ;del.credere   www.del-credere.ru;9997282@delcredere.ru;+7 963 999 72 82;129344, Москва, ул.Искры, д.31, корп.1;Щербаков Е.В.;Москва
Линия защиты ;www.linez.pro;info@linez.pro;680699;Астраханская, 88;;Саратов  
АлтайПраво ;http://altaipravo.ru/;altaipravo@bk.ru;89293775777;г. Барнаул, Павловский тракт, 257-в, офис 8;;Барнаул  
"ООО ""Триумф"" ";http://триумф2006.рф;triumf_2006_09@mail.ru;2950566, 89610936095;660012;;Красноярск  
"ООО ""Центр правовой защиты ""ПравоСудие"" ";;pravosudiernd@yandex.ru;79381322999;город Ростов-на-Дону, улица Ивановского, 38/63, оф. 407М;Колпакчан Руслан Матвеевич;Ростов-на-Дону  
Бюро оптимальных решений ;www.9834981.com;9834981@mail.ru;8 129 834 981;Санкт-Петербург, ул.Краснодонская, д.4;Виноградова Алина Александровна;Санкт-Петербург
"КА ""Территория защиты"" ";www.zabadvokat.ru;;354545, 89245052002;г. Чита, ул. Чкалова 24, офис №1;Микулич Алексей Сергеевич;Чита
ТБК ;;;;;;Томск  
"ООО ""ПРИНЦИП ЗАЩИТЫ"" ";https://princip-zashity.ru/;Zashity.L@yandex.ru;79014909844;Россия, Краснодар, ул. Селезнева, 204/2, оф. Д34;Погосян Карина Григорьевна;Краснодар  
"ООО ""Статус-кво"" ";;status-kvo55@mail.ru;332301;г. Омск, ул.Пушкина, 67 офис 416;;Омск  
Центр Подготовки Документов ;http://ooo-mifns.ru/index.html;2258877@mail.ru;79788075279;295053 г. Симферополь ул. Мате Залки, д.1;Барков Андрей Андреевич;Симферополь  
ЮрИнфоЗащита ;;;;;;Калуга  
ООО Городская Юридическая Служба ;http://jurist-karelia.ru/;info@jurist-karelia.ru;89 052 999 510;РК, г. Петрозаводск, ул. М. Мерецкова, д.8Б, оф.14;В.В. Беляев;Петрозаводск  
ЖКХ Консалтинг ;;;;;;Саратов  
Нотариус Хальме Ирена Юрьевна ;;;;;;Москва
Антонов и Партнеры ;antonovpartners.ru;antonovpartners@yandex.ru;83 912 888 065;г.Красноярск;Антон Сергеевич;Красноярск  
Техпроект ;;;;;;Оренбург  
"ООО ""АВТОЮРИСТ СПБ"" ";http://agentcaa.ru/;9650777700@mail.ru;8 812 3634881, 9836961;г. Санкт-Петербург ул. Маяковского, д 37, 2 этаж (вход со двора);Сычев Андрей Александрович;Санкт-Петербург
"OOO ""ЮА Компания ""Эксперт"" ";http://expertpravo.com/;expert_la@mail.ru;89039552068;г.Томск, пр. Ленина, д.190;Упорова Надежда Владимировна;Томск  
"ООО ""Универсал-Юрист-Групп"" ";;universal-femida@mail.ru;89510954345;г. Ульяновск, ул. Красноармейская 51;Шароухов Александр Владимирович;Ульяновск  
"Коллегия адвокатов ""Дом Права"" ";;;;;;Тольятти  
"Юридическое партнерство ""НСК-Лигал"" ";https://nsk-legal.pro/;common.nsk-legal@yandex.ru;+7 950 422 36 82;г. Красноярск, ул. Высотная, 2, офис 318;Кутейников Никита Сергеевич;Красноярск  
